T恤	ti4 xu4
褒奖	bao1 jiang3
剥	bao1
剥	bo1
剥夺	bo1 duo2
剥离	bao1 li2
剥离开	bao1 li2 kai1
剥落	bo1 luo4
剥蚀	bo1 shi2
剥削	bo1 xue1
剥削阶级	bo1 xue1 jie1 ji2
薄	bao2
薄	bo2
薄板	bao2 ban3
薄薄	bao2 bao2
薄壁	bao2 bi4
薄层	bao2 ceng2
薄荷	bo4 he5
薄利	bao2 li4
薄膜	bo2 mo2
薄片	bo2 pian4
薄弱	bo2 ruo4
薄弱点	bo2 ruo4 dian3
薄弱环节	bo2 ruo4 huan2 jie2
薄雾	bo2 wu4
雹	bao2
保	bao3
保安	bao3 an1
保安队	bao3 an1 dui4
保安人员	bao3 an1 ren2 yuan2
保安装置	bao3 an1 zhuang1 zhi4
保不住	bao3 bu2 zhu4
保持	bao3 chi2
保持警惕	bao3 chi2 jing3 ti4
保持平衡	bao3 chi2 ping2 heng2
保持平静	bao3 chi2 ping2 jing4
保持平稳	bao3 chi2 ping2 wen3
保存	bao3 cun2
保存档案	bao3 cun2 dang4 an4
保定	bao3 ding4
保管	bao3 guan3
保护	bao3 hu4
保护法	bao3 hu4 fa3
保护关税	bao3 hu4 guan1 shui4
保护国	bao3 hu4 guo2
保护林	bao3 hu4 lin2
保护林子	bao3 hu4 lin2 zi5
保护人	bao3 hu4 ren2
保皇党	bao3 huang2 dang3
保加利亚	bao3 jia1 li4 ya4
保甲	bao3 jia3
保驾	bao3 jia4
保荐	bao3 jian4
保健	bao3 jian4
保健操	bao3 jian4 cao1
保健中心	bao3 jian4 zhong1 xin1
保龄球	bao3 ling2 qiu2
保留	bao3 liu2
保罗	bao3 luo2
保密	bao3 mi4
保苗	bao3 miao2
保姆	bao3 mu3
保全	bao3 quan2
保人	bao3 ren2
保山	bao3 shan1
保墒	bao3 shang1
保释	bao3 shi4
保守	bao3 shou3
保守党	bao3 shou3 dang3
保守势力	bao3 shou3 shi4 li4
保税仓库	bao3 shui4 cang1 ku4
保送	bao3 song4
保卫	bao3 wei4
保卫和平	bao3 wei4 he2 ping2
保卫者	bao3 wei4 zhe3
保卫祖国	bao3 wei4 zu3 guo2
保温	bao3 wen1
保温瓶	bao3 wen1 ping2
保险	bao3 xian3
保险费	bao3 xian3 fei4
保险费率	bao3 xian3 fei4 lu:4
保险公司	bao3 xian3 gong1 si1
保险柜	bao3 xian3 gui4
保险金额	bao3 xian3 jin1 e2
保险丝	bao3 xian3 si1
保险条款	bao3 xian3 tiao2 kuan3
保险箱	bao3 xian3 xiang1
保养	bao3 yang3
保佑	bao3 you4
保育	bao3 yu4
保育员	bao3 yu4 yuan2
保障	bao3 zhang4
保证	bao3 zheng4
保证供应	bao3 zheng4 gong1 ying4
保证金	bao3 zheng4 jin1
保证人	bao3 zheng4 ren2
保重	bao3 zhong4
保重点	bao3 zhong4 dian3
保镖	bao3 biao1
堡口	bu3 kou3
堡垒	bao3 lei3
饱	bao3
饱含	bao3 han2
饱和	bao3 he2
饱和点	bao3 he2 dian3
饱和电流	bao3 he2 dian4 liu2
饱和度	bao3 he2 du4
饱和溶液	bao3 he2 rong2 ye4
饱和水汽压	bao3 he2 shui3 qi4 ya1
饱和状态	bao3 he2 zhuang4 tai4
饱经	bao3 jing1
饱经风霜	bao3 jing1 feng1 shuang1
饱满	bao3 man3
宝	bao3
宝安	bao3 an1
宝宝	bao3 bao3
宝宝儿	bao3 bao5 er2
宝贝	bao3 bei4
宝藏	bao3 zang4
宝成铁路	bao3 cheng2 tie3 lu4
宝岛	bao3 dao3
宝殿	bao3 dian4
宝丰	bao3 feng1
宝贵	bao3 gui4
宝贵遗产	bao3 gui4 yi2 chan3
宝华	bao3 hua2
宝鸡	bao3 ji1
宝剑	bao3 jian4
宝俊	bao3 jun4
宝库	bao3 ku4
宝庆	bao3 qing4
宝山	bao3 shan1
宝石	bao3 shi2
宝塔	bao3 ta3
宝塔山	bao3 ta3 shan1
宝物	bao3 wu4
宝珠	bao3 zhu1
宝座	bao3 zuo4
抱	bao4
抱负	bao4 fu4
抱恨	bao4 hen4
抱歉	bao4 qian4
抱怨	bao4 yuan4
报	bao4
报岸价	bao4 an4 jia4
报案	bao4 an4
报表	bao4 biao3
报偿	bao4 chang2
报酬	bao4 chou2
报仇	bao4 chou2
报答	bao4 da2
报导	bao4 dao3
报到	bao4 dao4
报到处	bao4 dao4 chu4
报道	bao4 dao4
报废	bao4 fei4
报复	bao4 fu4
报告	bao4 gao4
报告书	bao4 gao4 shu1
报告文学	bao4 gao4 wen2 xue2
报关	bao4 guan1
报馆	bao4 guan3
报国	bao4 guo2
报价	bao4 jia4
报捷	bao4 jie2
报界	bao4 jie4
报警	bao4 jing3
报刊	bao4 kan1
报刊杂志	bao4 kan1 za2 zhi4
报考	bao4 kao3
报名	bao4 ming2
报名费	bao4 ming2 fei4
报名人	bao4 ming2 ren2
报名手续	bao4 ming2 shou3 xu4
报幕	bao4 mu4
报请	bao4 qing3
报社	bao4 she4
报时	bao4 shi2
报喜	bao4 xi3
报销	bao4 xiao1
报晓	bao4 xiao3
报效	bao4 xiao4
报信	bao4 xin4
报章	bao4 zhang1
报纸	bao4 zhi3
报纸版面	bao4 zhi3 ban3 mian4
暴	bao4
暴跌	bao4 die1
暴动	bao4 dong4
暴发	bao4 fa1
暴发户	bao4 fa1 hu4
暴风	bao4 feng1
暴风雪	bao4 feng1 xue3
暴风雨	bao4 feng1 yu3
暴风骤雨	bao4 feng1 zhou4 yu3
暴君	bao4 jun1
暴利	bao4 li4
暴力	bao4 li4
暴力革命	bao4 li4 ge2 ming4
暴力行动	bao4 li4 xing2 dong4
暴力行为	bao4 li4 xing2 wei2
暴烈	bao4 lie4
暴露	pu4 lu4
暴露出	bao4 lu4 chu1
暴露出来	bao4 lu4 chu1 lai2
暴乱	bao4 luan4
暴虐	bao4 nu:e4
暴徒	bao4 tu2
暴行	bao4 xing2
暴雨	bao4 yu3
暴雨季节	bao4 yu3 ji4 jie2
暴躁	bao4 zao4
暴涨	bao4 zhang4
暴政	bao4 zheng4
暴戾	bao4 li4
豹	bao4
豹子	bao4 zi5
鲍	bao4
鲍尔	bao4 er3
鲍威尔	bao4 wei1 er3
鲍鱼	bao4 yu2
爆	bao4
爆出	bao4 chu1
爆发	bao4 fa1
爆发出	bao4 fa1 chu1
爆裂	bao4 lie4
爆满	bao4 man3
爆破	bao4 po4
爆炸	bao4 zha4
爆炸声	bao4 zha4 sheng1
爆竹	bao4 zhu2
杯	bei1
杯水车薪	bei1 shui3 che1 xin1
杯子	bei1 zi5
碑	bei1
碑刻	bei1 ke4
碑林	bei1 lin2
碑帖	bei1 tie4
碑文	bei1 wen2
悲	bei1
悲哀	bei1 ai1
悲惨	bei1 can3
悲惨遭遇	bei1 can3 zao1 yu4
悲愤	bei1 fen4
悲歌	bei1 ge1
悲观	bei1 guan1
悲欢离合	bei1 huan1 li2 he2
悲剧	bei1 ju4
悲苦	bei1 ku3
悲伤	bei1 shang1
悲痛	bei1 tong4
悲壮	bei1 zhuang4
卑	bei1
卑鄙	bei1 bi3
卑贱	bei1 jian4
卑劣	bei1 lie4
卑下	bei1 xia4
北	bei3
北爱尔兰	bei3 ai4 er3 lan2
北半球	bei3 ban4 qiu2
北边	bei3 bian1
北冰洋	bei3 bing1 yang2
北部	bei3 bu4
北部湾	bei3 bu4 wan1
北朝	bei3 chao2
北达科他	bei3 da2 ke1 ta1
北大	bei3 da4
北戴河	bei3 dai4 he2
北伐	bei3 fa2
北伐军	bei3 fa2 jun1
北伐战争	bei3 fa2 zhan4 zheng1
北方	bei3 fang1
北方交通大学	bei3 fang1 jiao1 tong1 da4 xue2
北房	bei3 fang2
北非	bei3 fei1
北国	bei3 guo2
北海	bei3 hai3
北海道	bei3 hai3 dao4
北海州	bei3 hai3 zhou1
北极	bei3 ji2
北极地区	bei3 ji2 di4 qu1
北极星	bei3 ji2 xing1
北极熊	bei3 ji2 xiong2
北江	bei3 jiang1
北郊	bei3 jiao1
北京	bei3 jing1
北京城	bei3 jing1 cheng2
北京大学	bei3 jing1 da4 xue2
北京服装学院	bei3 jing1 fu2 zhuang1 xue2 yuan4
北京航空航天大学	bei3 jing1 hang2 kong1 hang2 tian1 da4 xue2
北京烤鸭	bei3 jing1 kao3 ya1
北京科技大学	bei3 jing1 ke1 ji4 da4 xue2
北京理工大学	bei3 jing1 li3 gong1 da4 xue2
北京林业大学	bei3 jing1 lin2 ye4 da4 xue2
北京农业大学	bei3 jing1 nong2 ye4 da4 xue2
北京气象学院	bei3 jing1 qi4 xiang4 xue2 yuan4
北京人	bei3 jing1 ren2
北京市	bei3 jing1 shi4
北京外语学院	bei3 jing1 wai4 yu3 xue2 yuan4
北京鸭	bei3 jing1 ya1
北京医科大学	bei3 jing1 yi1 ke1 da4 xue2
北京邮电学院	bei3 jing1 you2 dian4 xue2 yuan4
北京语言学院	bei3 jing1 yu3 yan2 xue2 yuan4
北卡罗来纳	bei3 ka3 luo2 lai2 na4
北林	bei3 lin2
北美	bei3 mei3
北美洲	bei3 mei3 zhou1
北面	bei3 mian4
北欧	bei3 ou1
北平	bei3 ping2
北齐	bei3 qi2
北山	bei3 shan1
北师大	bei3 shi1 da4
北宋	bei3 song4
北纬	bei3 wei3
北魏	bei3 wei4
北洋	bei3 yang2
北洋军阀	bei3 yang2 jun1 fa2
北邮	bei3 you2
北油	bei3 you2
北周	bei3 zhou1
辈	bei4
辈出	bei4 chu1
辈分	bei4 fen5
辈子	bei4 zi5
背	bei1
背	bei4
背包	bei1 bao1
背包	bei4 bao1
背包袱	bei1 bao1 fu2
背部	bei4 bu4
背道而驰	bei4 dao4 er2 chi2
背地里	bei4 di4 li3
背风	bei4 feng1
背负	bei1 fu4
背光	bei4 guang1
背后	bei4 hou4
背脊	bei4 ji3
背井离乡	bei4 jing3 li2 xiang1
背景	bei4 jing3
背离	bei4 li2
背面	bei4 mian4
背叛	bei4 pan4
背弃	bei4 qi4
背书	bei4 shu1
背水一战	bei4 shui3 yi2 zhan4
背诵	bei4 song4
背斜	bei4 xie2
背心	bei4 xin1
背信弃义	bei4 xin4 qi4 yi4
背影	bei4 ying3
背鳍	bei4 qi2
贝	bei4
贝贝	bei4 bei4
贝贝托	bei4 bei4 tuo1
贝布托	bei4 bu4 tuo1
贝多芬	bei4 duo1 fen1
贝尔	bei4 er3
贝尔格莱德	bei4 er3 ge2 lai2 de2
贝加尔湖	bei4 jia1 er3 hu2
贝壳	bei4 ke2
贝克	bei4 ke4
贝克尔	bei4 ke4 er3
贝克勒耳	bei4 ke4 le4 er3
贝拉	bei4 la1
贝勒	bei4 le4
贝类	bei4 lei4
贝利	bei4 li4
贝卢斯科尼	bei4 lu2 si1 ke1 ni2
贝鲁特	bei4 lu3 te4
贝宁	bei4 nin2
贝宁	bei4 ning2
贝西	bei4 xi1
倍	bei4
倍加	bei4 jia1
倍数	bei4 shu4
倍增	bei4 zeng1
倍增器	bei4 zeng1 qi4
备	bei4
备案	bei4 an4
备查	bei4 cha2
备耕	bei4 geng1
备荒	bei4 huang1
备件	bei4 jian4
备课	bei4 ke4
备料	bei4 liao4
备品	bei4 pin3
备忘录	bei4 wang4 lu4
备用	bei4 yong4
备用金	bei4 yong4 jin1
备战	bei4 zhan4
备至	bei4 zhi4
惫	bei4
焙	bei4
焙烧	bei4 shao1
被	bei4
被剥削	bei4 bo1 xue1
被剥削阶级	bei4 bao1 xue1 jie1 ji2
被保险人	bei4 bao3 xian3 ren2
被逼	bei4 bi1
被捕	bei4 bu3
被乘数	bei4 cheng2 shu4
被除数	bei4 chu2 shu4
被刺	bei4 ci4
被单	bei4 dan1
被动	bei4 dong4
被动地位	bei4 dong4 di4 wei4
被俘	bei4 fu2
被服	bei4 fu2
被告	bei4 gao4
被告人	bei4 gao4 ren2
被告知	bei4 gao4 zhi1
被害	bei4 hai4
被害人	bei4 hai4 ren2
被加数	bei4 jia1 shu4
被减数	bei4 jian3 shu4
被开方数	bei4 kai1 fang1 shu4
被困	bei4 kun4
被面	bei4 mian4
被迫	bei4 po4
被褥	bei4 ru4
被统治阶级	bei4 tong3 zhi4 jie1 ji2
被统治者	bei4 tong3 zhi4 zhe3
被选举权	bei4 xuan3 ju3 quan2
被压迫	bei4 ya1 po4
被压迫阶级	bei4 ya1 po4 jie1 ji2
被压迫民族	bei4 ya1 po4 min2 zu2
被压迫者	bei4 ya1 po4 zhe3
被子	bei4 zi3
被子	bei4 zi5
被子植物	bei4 zi3 zhi2 wu4
奔	ben1
奔	ben4
奔波	ben1 bo1
奔驰	ben1 chi2
奔放	ben1 fang4
奔赴	ben1 fu4
奔流	ben1 liu2
奔忙	ben1 mang2
奔跑	ben1 pao3
奔丧	ben1 sang1
奔腾	ben1 teng2
奔头	ben4 tou2
奔走	ben1 zou3
奔走相告	ben1 zou3 xiang1 gao4
苯	ben3
苯胺	ben3 an4
苯酚	ben3 fen1
苯环	ben3 huan2
苯基	ben3 ji1
苯甲酸	ben3 jia3 suan1
苯乙烯	ben3 yi3 xi1
本	ben3
本本	ben3 ben3
本部	ben3 bu4
本部门	ben3 bu4 men2
本草	ben3 cao3
本草纲目	ben3 cao3 gang1 mu4
本地	ben3 di4
本地产品	ben3 di4 chan3 pin3
本地区	ben3 di4 qu1
本地人	ben3 di4 ren2
本队	ben3 dui4
本儿	ben3 er2
本分	ben3 fen4
本国	ben3 guo2
本国人民	ben3 guo2 ren2 min2
本机振荡	ben3 ji1 zhen4 dang4
本机振荡器	ben3 ji1 zhen4 dang4 qi4
本家	ben3 jia1
本科	ben3 ke1
本科生	ben3 ke1 sheng1
本来	ben3 lai2
本来面目	ben3 lai2 mian4 mu4
本垒	ben3 lei3
本利	ben3 li4
本领	ben3 ling3
本论	ben3 lun4
本末	ben3 mo4
本末倒置	ben3 mo4 dao4 zhi4
本能	ben3 neng2
本年	ben3 nian2
本年度	ben3 nian2 du4
本票	ben3 piao4
本期发生额	ben3 qi1 fa1 sheng1 e2
本钱	ben3 qian2
本人	ben3 ren2
本色	ben3 se4
本身	ben3 shen1
本省	ben3 sheng3
本世纪	ben3 shi4 ji4
本事	ben3 shi4
本题	ben3 ti2
本体	ben3 ti3
本土	ben3 tu3
本土化	ben3 tu3 hua4
本位	ben3 wei4
本位主义	ben3 wei4 zhu3 yi4
本文	ben3 wen2
本息	ben3 xi1
本溪	ben3 xi1
本相	ben3 xiang4
本心	ben3 xin1
本行	ben3 hang2
本行业	ben3 hang2 ye4
本性	ben3 xing4
本业	ben3 ye4
本意	ben3 yi4
本原	ben3 yuan2
本源	ben3 yuan2
本月	ben3 yue4
本月初	ben3 yue4 chu1
本月底	ben3 yue4 di3
本月份	ben3 yue4 fen4
本月中旬	ben3 yue4 zhong1 xun2
本职	ben3 zhi2
本职工作	ben3 zhi2 gong1 zuo4
本职业务	ben3 zhi2 ye4 wu4
本质	ben3 zhi4
本质属性	ben3 zhi4 shu3 xing4
本州	ben3 zhou1
本着	ben3 zhe5
本子	ben3 zi5
笨	ben4
笨重	ben4 zhong4
笨拙	ben4 zhuo1
崩	beng1
崩解	beng1 jie3
崩溃	beng1 kui4
崩裂	beng1 lie4
崩塌	beng1 ta1
绷	beng1
绷	beng3
绷	beng4
绷带	beng1 dai4
甭	beng2
甭管	beng2 guan3
甭管它	beng2 guan3 ta1
泵	beng4
蹦	beng4
蹦蹦跳跳	beng4 beng4 tiao4 tiao4
迸	beng4
迸发	beng4 fa1
逼	bi1
逼供	bi1 gong4
逼近	bi1 jin4
逼迫	bi1 po4
逼人	bi1 ren2
逼死	bi1 si3
逼真	bi1 zhen1
鼻	bi2
鼻尖	bi2 jian1
鼻孔	bi2 kong3
鼻梁	bi2 liang2
鼻腔	bi2 qiang1
鼻涕	bi2 ti4
鼻息	bi2 xi1
鼻烟	bi2 yan1
鼻音	bi2 yin1
鼻子	bi2 zi5
鼻祖	bi2 zu3
比	bi3
比比	bi3 bi3
比比皆是	bi3 bi3 jie1 shi4
比不上	bi3 bu2 shang4
比尔	bi3 er3
比方	bi3 fang1
比方说	bi3 fang5 shuo1
比分	bi3 fen1
比干	bi3 gan1
比高	bi3 gao1
比价	bi3 jia4
比较	bi3 jiao4
比较仪	bi3 jiao4 yi2
比来比去	bi3 lai2 bi3 qu4
比勒陀利亚	bi3 le4 tuo2 li4 ya4
比利	bi3 li4
比利时	bi3 li4 shi2
比例	bi3 li4
比例尺	bi3 li4 chi3
比例规	bi3 li4 gui1
比例失调	bi3 li4 shi1 tiao2
比例中项	bi3 li4 zhong1 xiang4
比邻	bi3 lin2
比率	bi3 lu:4
比目鱼	bi3 mu4 yu2
比拟	bi3 ni3
比起	bi3 qi3
比热	bi3 re4
比容	bi3 rong2
比如	bi3 ru2
比如说	bi3 ru2 shuo1
比萨饼	bi3 sa4 bing3
比赛	bi3 sai4
比赛场	bi3 sai4 chang3
比赛场地	bi3 sai4 chang3 di4
比赛场所	bi3 sai4 chang3 suo3
比色计	bi3 se4 ji4
比上不足	bi3 shang4 bu4 zu2
比绍	bi3 shao4
比试	bi3 shi4
比武	bi3 wu3
比下有余	bi3 xia4 you3 yu2
比先	bi3 xian1
比翼	bi3 yi4
比喻	bi3 yu4
比照	bi3 zhao4
比值	bi3 zhi2
比重	bi3 zhong4
鄙	bi3
鄙人	bi3 ren2
鄙视	bi3 shi4
鄙夷	bi3 yi2
鄙意	bi3 yi4
笔	bi3
笔触	bi3 chu4
笔调	bi3 diao4
笔端	bi3 duan1
笔法	bi3 fa3
笔锋	bi3 feng1
笔杆	bi3 gan3
笔画	bi3 hua4
笔划	bi3 hua4
笔迹	bi3 ji1
笔记	bi3 ji4
笔记本	bi3 ji4 ben3
笔架	bi3 jia4
笔尖	bi3 jian1
笔力	bi3 li4
笔录	bi3 lu4
笔名	bi3 ming2
笔墨	bi3 mo4
笔舌	bi3 she2
笔试	bi3 shi4
笔套	bi3 tao4
笔挺	bi3 ting3
笔头	bi3 tou2
笔下	bi3 xia4
笔者	bi3 zhe3
笔直	bi3 zhi2
彼	bi3
彼岸	bi3 an4
彼茨堡	bi3 ci2 bao3
彼此	bi3 ci3
彼此间	bi3 ci3 jian1
彼得	bi3 de2
彼得格勒	bi3 de2 ge2 le4
彼得一世	bi3 de2 yi2 shi4
碧	bi4
碧波	bi4 bo1
碧波荡漾	bi4 bo1 dang4 yang4
碧和	bi4 he2
碧华	bi4 hua2
碧空	bi4 kong1
碧绿	bi4 lu:4
碧螺春	bi4 luo2 chun1
碧血	bi4 xue4
碧玉	bi4 yu4
蔽	bi4
毕	bi4
毕达哥拉斯	bi4 da2 ge1 la1 si1
毕竟	bi4 jing4
毕竟是	bi4 jing4 shi4
毕生	bi4 sheng1
毕升	bi4 sheng1
毕业	bi4 ye4
毕业典礼	bi4 ye4 dian3 li3
毕业考	bi4 ye4 kao3
毕业论文	bi4 ye4 lun4 wen2
毕业生	bi4 ye4 sheng1
毕业生分配	bi4 ye4 sheng1 fen1 pei4
毕业文凭	bi4 ye4 wen2 ping2
毕业证书	bi4 ye4 zheng4 shu1
毙	bi4
毙命	bi4 ming4
币	bi4
币值	bi4 zhi2
币制	bi4 zhi4
庇护	bi4 hu4
闭	bi4
闭关	bi4 guan1
闭关锁国	bi4 guan1 suo3 guo2
闭关政策	bi4 guan1 zheng4 ce4
闭关自守	bi4 guan1 zi4 shou3
闭合	bi4 he2
闭合电路	bi4 he2 dian4 lu4
闭会	bi4 hui4
闭路电视	bi4 lu4 dian4 shi4
闭幕	bi4 mu4
闭幕式	bi4 mu4 shi4
闭塞	bi4 se4
敝	bi4
弊	bi4
弊病	bi4 bing4
弊端	bi4 duan1
必	bi4
必备	bi4 bei4
必不可少	bi4 bu4 ke3 shao3
必得	bi4 de2
必定	bi4 ding4
必将	bi4 jiang1
必经之路	bi4 jing1 zhi1 lu4
必然	bi4 ran2
必然王国	bi4 ran2 wang2 guo2
必然性	bi4 ran2 xing4
必胜	bi4 sheng1
必修	bi4 xiu1
必修课	bi4 xiu1 ke4
必修课程	bi4 xiu1 ke4 cheng2
必需	bi4 xu1
必需品	bi4 xu1 pin3
必须	bi4 xu1
必要	bi4 yao4
必要劳动	bi4 yao4 lao2 dong4
必要条件	bi4 yao4 tiao2 jian4
必要性	bi4 yao4 xing4
必由之路	bi4 you2 zhi1 lu4
辟	bi4
辟	pi4
壁	bi4
壁报	bi4 bao4
壁橱	bi4 chu2
壁画	bi4 hua4
壁垒	bi4 lei3
壁炉	bi4 lu2
臂	bi4
臂膀	bi4 bang3
臂膊	bi4 bo2
避	bi4
避风	bi4 feng1
避风港	bi4 feng1 gang3
避风雨	bi4 feng1 yu3
避开	bi4 kai1
避雷线	bi4 lei2 xian4
避雷针	bi4 lei2 zhen1
避乱	bi4 luan4
避免	bi4 mian3
避难	bi4 nan4
避实击虚	bi4 shi2 ji1 xu1
避暑	bi4 shu3
避暑山庄	bi4 shu3 shan1 zhuang1
避嫌	bi4 xian2
避孕	bi4 yun4
避孕药	bi4 yun4 yao4
陛下	bi4 xia4
鞭	bian1
鞭策	bian1 ce4
鞭长莫及	bian1 chang2 mo4 ji2
鞭打	bian1 da3
鞭毛	bian1 mao2
鞭炮	bian1 pao4
鞭挞	bian1 ta4
鞭子	bian1 zi5
边	bian1
边	bian5
边材	bian1 cai2
边儿	bian1 er2
边防	bian1 fang2
边防军	bian1 fang2 jun1
边防线	bian1 fang2 xian4
边锋	bian1 feng1
边后卫	bian1 hou4 wei4
边际	bian1 ji4
边检	bian1 jian3
边疆	bian1 jiang1
边角料	bian1 jiao3 liao4
边界	bian1 jie4
边界层	bian1 jie4 ceng2
边界问题	bian1 jie4 wen4 ti2
边界线	bian1 jie4 xian4
边境	bian1 jing4
边境地区	bian1 jing4 di4 qu1
边框	bian1 kuang1
边贸	bian1 mao4
边贸城	bian1 mao4 cheng2
边贸额	bian1 mao4 e2
边贸局	bian1 mao4 ju2
边民	bian1 min2
边区	bian1 qu1
边线	bian1 xian4
边沿	bian1 yan2
边缘	bian1 yuan2
边远	bian1 yuan3
边远地区	bian1 yuan3 di4 qu1
边寨	bian1 zhai4
边陲	bian1 chui2
编	bian1
编篡	bian1 cuan4
编导	bian1 dao3
编订	bian1 ding4
编队	bian1 dui4
编号	bian1 hao4
编辑	bian1 ji2
编辑部	bian1 ji2 bu4
编剧	bian1 ju4
编码	bian1 ma3
编目	bian1 mu4
编排	bian1 pai2
编入	bian1 ru4
编审	bian1 shen3
编写	bian1 xie3
编修	bian1 xiu1
编选	bian1 xuan3
编译	bian1 yi4
编印	bian1 yin4
编造	bian1 zao4
编者	bian1 zhe3
编者按	bian1 zhe3 an4
编织	bian1 zhi1
编制	bian1 zhi4
编著	bian1 zhu4
编撰	bian1 zhuan4
编组	bian1 zu3
编纂	bian1 zuan3
贬	bian3
贬低	bian3 di1
贬值	bian3 zhi2
扁	bian3
扁担	bian3 dan1
扁豆	bian3 dou4
扁平	bian3 ping2
扁鹊	bian3 que4
扁圆	bian3 yuan2
扁圆形	bian3 yuan2 xing2
便	bian4
便当	bian4 dang1
便当	bian4 dang5
便道	bian4 dao4
便饭	bian4 fan4
便服	bian4 fu2
便捷	bian4 jie2
便利	bian4 li4
便士	bian4 shi4
便是	bian4 shi4
便条	bian4 tiao2
便鞋	bian4 xie2
便衣	bian4 yi1
便宜	pian2 yi5
便于	bian4 yu2
便中	bian4 zhong1
便装	bian4 zhuang1
变	bian4
变本加厉	bian4 ben3 jia1 li4
变成	bian4 cheng2
变得	bian4 de2
变电所	bian4 dian4 suo3
变电站	bian4 dian4 zhan4
变动	bian4 dong4
变法	bian4 fa3
变革	bian4 ge2
变更	bian4 geng4
变故	bian4 gu4
变红	bian4 hong2
变化	bian4 hua4
变化无常	bian4 hua4 wu2 chang2
变换	bian4 huan4
变换器	bian4 huan4 qi4
变幻	bian4 huan4
变幻莫测	bian4 huan4 mo4 ce4
变节	bian4 jie2
变量	bian4 liang4
变流器	bian4 liu2 qi4
变乱	bian4 luan4
变卖	bian4 mai4
变频	bian4 pin2
变频管	bian4 pin2 guan3
变频器	bian4 pin2 qi4
变迁	bian4 qian1
变色	bian4 se4
变数	bian4 shu4
变速	bian4 su4
变速器	bian4 su4 qi4
变速运动	bian4 su4 yun4 dong4
变态	bian4 tai4
变通	bian4 tong1
变为	bian4 wei2
变位	bian4 wei4
变戏法	bian4 xi4 fa3
变相	bian4 xiang4
变形	bian4 xing2
变形虫	bian4 xing2 chong2
变性	bian4 xing4
变性病	bian4 xing4 bing4
变修	bian4 xiu1
变压器	bian4 ya1 qi4
变样	bian4 yang4
变易	bian4 yi4
变异	bian4 yi4
变异系数	bian4 yi4 xi4 shu4
变异性	bian4 yi4 xing4
变质	bian4 zhi4
变质处理	bian4 zhi4 chu3 li3
变种	bian4 zhong3
变阻器	bian4 zu3 qi4
变卦	bian4 gua4
卞	bian4
辨	bian4
辨别	bian4 bie2
辨认	bian4 ren4
辨证法	bian4 zheng4 fa3
辩	bian4
辩驳	bian4 bo2
辩护	bian4 hu4
辩护律师	bian4 hu4 lu:4 shi1
辩护权	bian4 hu4 quan2
辩护人	bian4 hu4 ren2
辩护士	bian4 hu4 shi4
辩解	bian4 jie3
辩论	bian4 lun4
辩证	bian4 zheng4
辩证法	bian4 zheng4 fa3
辩证唯物主义	bian4 zheng4 wei2 wu4 zhu3 yi4
辫	bian4
辫子	bian4 zi5
遍	bian4
遍布	bian4 bu4
遍地	bian4 di4
遍及	bian4 ji2
遍野	bian4 ye3
标	biao1
标榜	biao1 bang3
标本	biao1 ben3
标兵	biao1 bing1
标兵团	biao1 bing1 tuan2
标尺	biao1 chi3
标单	biao1 dan1
标灯	biao1 deng1
标点	biao1 dian3
标点符号	biao1 dian3 fu2 hao4
标定	biao1 ding4
标杆	biao1 gan1
标高	biao1 gao1
标号	biao1 hao4
标记	biao1 ji4
标价	biao1 jia4
标量	biao1 liang4
标明	biao1 ming2
标签	biao1 qian1
标枪	biao1 qiang1
标识	biao1 shi2
标示	biao1 shi4
标题	biao1 ti2
标语	biao1 yu3
标志	biao1 zhi4
标致	biao1 zhi4
标帜	biao1 zhi4
标帜牌	biao1 zhi4 pai2
标准	biao1 zhun3
标准差	biao1 zhun3 cha1
标准大气压	biao1 zhun3 da4 qi4 ya1
标准工资	biao1 zhun3 gong1 zi1
标准规	biao1 zhun3 gui1
标准规定	biao1 zhun3 gui1 ding4
标准化	biao1 zhun3 hua4
标准化生产	biao1 zhun3 hua4 sheng1 chan3
标准件	biao1 zhun3 jian4
标准木	biao1 zhun3 mu4
标准溶液	biao1 zhun3 rong2 ye4
标准时	biao1 zhun3 shi2
标准状况	biao1 zhun3 zhuang4 kuang4
标准状态	biao1 zhun3 zhuang4 tai4
膘	biao1
表	biao3
表白	biao3 bai2
表报	biao3 bao4
表表	biao3 biao3
表伯	biao3 bo2
表层	biao3 ceng2
表达	biao3 da2
表带	biao3 dai4
表弟	biao3 di4
表儿	biao3 er2
表哥	biao3 ge1
表格	biao3 ge2
表观	biao3 guan1
表姐	biao3 jie3
表决	biao3 jue2
表决权	biao3 jue2 quan2
表决心	biao3 jue2 xin1
表里	biao3 li3
表露	biao3 lu4
表率	biao3 shuai4
表妹	biao3 mei4
表面	biao3 mian4
表面光洁度	biao3 mian4 guang1 jie2 du4
表面化	biao3 mian4 hua4
表面活性剂	biao3 mian4 huo2 xing4 ji4
表面积	biao3 mian4 ji1
表面张力	biao3 mian4 zhang1 li4
表面质量	biao3 mian4 zhi4 liang4
表明	biao3 ming2
表盘	biao3 pan2
表皮	biao3 pi2
表情	biao3 qing2
表示	biao3 shi4
表叔	biao3 shu1
表述	biao3 shu4
表态	biao3 tai4
表土	biao3 tu3
表土层	biao3 tu3 ceng2
表现	biao3 xian4
